Wall time,Step,Value
1528665633.1147306,159,654.7416381835938
1528665684.9884748,395,859.1227416992188
1528665691.5294886,425,794.7258911132812
1528665748.5061274,682,836.5545654296875
1528665798.2047043,908,740.7825317382812
1528665936.0288749,1535,743.8529663085938
1528665955.3831809,1624,624.34912109375
1528666088.6091917,2232,845.4566650390625
1528666099.3784895,2281,691.0076904296875
1528666144.99004,2489,895.5202026367188
1528666183.946258,2667,819.26416015625
1528666260.9392521,3008,822.6752319335938
1528666265.2461479,3028,555.8655395507812
1528666282.600045,3107,762.6934814453125
1528666387.9751613,3587,675.228759765625
1528666504.597276,4121,772.0543823242188
1528666588.3399916,4502,968.8994750976562
1528666618.9685237,4642,811.8319091796875
1528666753.419177,5258,723.4539794921875
1528666813.4163287,5521,607.4271240234375
1528666848.0060482,5678,661.7439575195312
1528666862.8135116,5745,779.8895263671875
1528666864.954403,5755,774.5289916992188
1528666966.287444,6219,823.8160400390625
1528666994.2124329,6346,781.7137451171875
1528667024.3196526,6485,689.833251953125
1528667045.9414291,6584,720.927978515625
1528667138.9966435,7010,709.6632080078125
1528667156.3869224,7089,790.9685668945312
1528667248.8122563,7511,633.3161010742188
1528667261.3345222,7569,580.478271484375
1528667291.6171753,7707,636.861572265625
1528667295.9543207,7727,681.7841796875
1528667328.2911139,7874,608.6482543945312
1528667341.2546082,7933,677.0701904296875
1528667403.1095033,8205,720.7625732421875
1528667638.1493514,9278,888.1348876953125
1528667694.002847,9533,585.2190551757812
1528667696.1491385,9543,636.6165161132812
1528667709.1244435,9602,564.466064453125
1528667767.379532,9869,503.2164306640625
1528667787.002635,9959,476.98162841796875
1528667893.1644406,10443,599.4398803710938
1528667899.6791623,10473,574.5684204101562
1528667957.5286026,10736,419.33111572265625
1528667980.5255563,10841,612.6926879882812
1528668103.7375927,11391,401.1416015625
1528668144.7971094,11578,381.8826904296875
1528668282.7006438,12208,372.7473449707031
1528668319.4280515,12374,392.372802734375
1528668438.6620388,12919,356.0444641113281
1528668445.04341,12948,344.4479064941406
1528668475.349204,13087,452.1930236816406
1528668483.9141037,13126,351.237548828125
1528668587.769995,13599,375.8924255371094
1528668605.2212386,13668,220.94052124023438
1528668652.241424,13882,517.37109375
1528668678.1638067,14000,347.62310791015625
1528668699.7285712,14098,316.14166259765625
1528668764.8399854,14395,382.0867004394531
1528668788.8046138,14505,365.5271911621094
1528668818.8944225,14642,494.3311462402344
1528668887.9152095,14958,453.0299377441406
1528668950.5534513,15244,228.57315063476562
1528668984.7394757,15398,359.8429870605469
1528669018.8279624,15553,316.0718078613281
1528669027.5005896,15592,372.3377380371094
1528669064.2062366,15759,320.3537902832031
1528669139.1943765,16100,241.79331970214844
1528669250.3157914,16591,264.29351806640625
1528669289.2756348,16770,364.3108825683594
1528669308.5582006,16858,255.0537872314453
1528669338.783212,16996,277.17547607421875
1528669343.1600764,17016,260.785888671875
1528669349.715733,17046,269.3310852050781
1528669444.6553082,17479,318.4545593261719
1528669541.3950787,17920,269.40081787109375
1528669579.6705165,18094,303.3337707519531
1528669599.3223517,18184,379.2922058105469
1528669627.3721654,18312,343.5389099121094
1528669633.7522688,18341,220.755859375
1528669651.3271554,18421,292.325927734375
1528669737.6802936,18815,417.43048095703125
1528669774.3468277,18983,263.88482666015625
1528669796.8685956,19075,301.3970031738281
1528669803.2426436,19104,339.2629699707031
1528669919.02305,19632,340.43743896484375
1528669994.5246701,19974,387.9673767089844
1528670083.8622136,20382,391.49273681640625
1528670101.1519167,20462,514.12939453125
1528670109.906432,20502,263.1036682128906
1528670125.159547,20571,428.26251220703125
1528670321.095563,21465,368.617919921875
1528670346.7531455,21583,160.0191650390625
1528670372.704582,21701,420.604248046875
1528670416.3736649,21889,445.3432312011719
1528670427.3176308,21939,378.5003662109375
